Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair,Column1
15/09/2023 10:45,15/09/2023 9:15,BUY,1.0666,1.0658,1.0691,-1,EURUSD,Should be sell?
07/09/2023 10:30,07/09/2023 8:15,BUY,1.0712,1.0705,1.0732,-1,EURUSD,60 mins out
29/08/2023 12:00,29/08/2023 9:00,BUY,1.0813,1.0802,1.0846,-1,EURUSD,Should Check if H4 level sets if high/low on same bar
29/08/2023 12:15,28/08/2023 13:30,BUY,1.0807,1.0796000000000001,1.084,-1,EURUSD,Cant tell what 15min liquidity is taken
15/08/2023 12:30,15/08/2023 9:45,SELL,1.0936,1.0948,1.09,3,EURUSD,
15/08/2023 9:30,15/08/2023 8:45,SELL,1.0928,1.0937,1.0899,-1,EURUSD,"Cant see 15 min liquidity, Might be there"
09/08/2023 14:00,09/08/2023 13:30,SELL,1.0979,1.0991,1.0943,-1,EURUSD,Extended entry? 15mins out.
26/06/2023 11:30,23/06/2023 14:45,BUY,1.0885,1.0876000000000001,1.0912,3,EURUSD,"Where is 07/2023? Might be useful to identify the level/date liquidity which is taken. Maybe some indication of extended, delayed or normal entry?"
27/04/2023 12:30,27/04/2023 8:30,SELL,1.105,1.1062,1.1013,3,EURUSD,"Where is 05/2023?, Not sure about the tag in? Where is it, would be useful to be able to identify."
26/04/2023 8:45,26/04/2023 8:30,SELL,1.1031,1.1043,1.0996,-1,EURUSD,Is in dead zone. Cant tell what 15min liquidity is taken
24/04/2023 12:45,24/04/2023 9:30,SELL,1.1016,1.1023,1.0995,-1,EURUSD,"30 mins out? From extended enty? Idk about 4h levels, is it updating right?"
12/04/2023 12:30,12/04/2023 10:00,SELL,1.0927,1.0938999999999999,1.089,-1,EURUSD,Cant tell what 15min liquidity is taken
12/04/2023 5:30,11/04/2023 14:00,SELL,1.0921,1.0931,1.0893,-1,EURUSD,
07/04/2023 12:30,07/04/2023 10:00,BUY,1.0914,1.0907,1.0937,-1,EURUSD,
07/04/2023 12:30,07/04/2023 9:00,BUY,1.0915,1.0908,1.0937,-1,EURUSD,
06/04/2023 13:00,06/04/2023 9:15,BUY,1.0899,1.0889,1.0928,-1,EURUSD,
23/03/2023 15:00,23/03/2023 14:15,SELL,1.0884,1.0896,1.0848,-1,EURUSD,
13/03/2023 14:45,13/03/2023 14:00,SELL,1.0698,1.0727,1.0611,-1,EURUSD,
10/03/2023 0:15,09/03/2023 13:15,BUY,1.0561,1.0549,1.0596,3,EURUSD,
10/03/2023 13:30,09/03/2023 8:30,BUY,1.0563,1.0545,1.0617,3,EURUSD,
08/03/2023 15:00,08/03/2023 10:00,BUY,1.054,1.0531,1.0568,-1,EURUSD,
21/02/2023 9:15,20/02/2023 15:00,SELL,1.0686,1.0696999999999999,1.0652,3,EURUSD,
21/02/2023 9:15,20/02/2023 14:30,SELL,1.0684,1.0694,1.0655,3,EURUSD,
01/02/2023 10:45,01/02/2023 8:45,SELL,1.0882,1.0891,1.0857,-1,EURUSD,
27/01/2023 13:00,27/01/2023 8:15,BUY,1.0875,1.0862,1.0914,-1,EURUSD,
17/01/2023 12:45,17/01/2023 9:45,BUY,1.0819,1.0808,1.0852,3,EURUSD,
13/01/2023 11:15,13/01/2023 8:45,SELL,1.0854,1.0867,1.0813,3,EURUSD,
10/01/2023 14:30,10/01/2023 9:30,SELL,1.0737,1.0755,1.0682,-1,EURUSD,
05/01/2023 13:30,05/01/2023 9:30,SELL,1.0618,1.0632,1.0576,3,EURUSD,
04/01/2023 14:45,04/01/2023 13:30,SELL,1.0612,1.0622,1.0582,-1,EURUSD,
04/01/2023 8:30,04/01/2023 8:15,SELL,1.0615,1.0634,1.0559,-1,EURUSD,
22/11/2022 18:45,22/11/2022 14:15,BUY,1.0264,1.0251000000000001,1.0302,3,EURUSD,
16/11/2022 10:00,16/11/2022 9:15,SELL,1.0411,1.0427,1.0362,-1,EURUSD,
26/09/2022 15:30,26/09/2022 14:45,BUY,0.9655,0.9632000000000001,0.9723,-1,EURUSD,
20/09/2022 11:30,20/09/2022 10:00,BUY,1.0007,0.9997,1.0039,-1,EURUSD,
19/09/2022 22:00,19/09/2022 13:15,BUY,0.9988,0.9973000000000001,1.0031,3,EURUSD,
31/08/2022 14:30,31/08/2022 8:45,BUY,0.9991,0.9971,1.0052,3,EURUSD,
31/08/2022 14:30,31/08/2022 8:45,BUY,0.9991,0.9971,1.0052,3,EURUSD,
04/08/2022 14:00,04/08/2022 9:45,SELL,1.0187,1.0201,1.0146,-1,EURUSD,
04/08/2022 14:00,04/08/2022 9:30,SELL,1.0188,1.0199,1.0157,-1,EURUSD,
15/07/2022 10:30,15/07/2022 9:45,SELL,1.0041,1.0051999999999999,1.0007,-1,EURUSD,
24/06/2022 14:00,24/06/2022 10:00,SELL,1.0546,1.0558,1.0508,-1,EURUSD,
21/06/2022 18:45,21/06/2022 14:45,SELL,1.0558,1.0569,1.0525,3,EURUSD,
21/06/2022 7:15,20/06/2022 14:45,SELL,1.0527,1.0545,1.0472,-1,EURUSD,
20/06/2022 14:45,20/06/2022 14:15,SELL,1.0527,1.0539,1.0492,-1,EURUSD,
17/06/2022 14:15,17/06/2022 9:00,SELL,1.0519,1.0538,1.0463,3,EURUSD,
31/05/2022 10:45,31/05/2022 10:00,BUY,1.0729,1.0715000000000001,1.077,-1,EURUSD,
30/05/2022 2:15,27/05/2022 15:00,BUY,1.0712,1.0698,1.0753,3,EURUSD,
26/05/2022 15:15,26/05/2022 14:15,SELL,1.0713,1.0725,1.0679,-1,EURUSD,
25/05/2022 14:15,25/05/2022 13:30,SELL,1.0661,1.0675,1.062,-1,EURUSD,
25/05/2022 14:15,25/05/2022 9:45,SELL,1.0669,1.0682,1.063,-1,EURUSD,
19/05/2022 10:30,19/05/2022 8:45,SELL,1.0496,1.0512,1.0448,-1,EURUSD,
18/05/2022 13:45,18/05/2022 13:30,SELL,1.0518,1.0534,1.047,-1,EURUSD,
18/05/2022 13:30,18/05/2022 13:00,SELL,1.0521,1.053,1.0494,-1,EURUSD,
10/05/2022 14:30,10/05/2022 10:00,BUY,1.0544,1.0532000000000001,1.0578,-1,EURUSD,
13/04/2022 12:15,13/04/2022 9:15,BUY,1.0833,1.0822,1.0866,-1,EURUSD,
07/04/2022 16:00,07/04/2022 14:00,BUY,1.0915,1.0895000000000001,1.0973,-1,EURUSD,
05/04/2022 10:30,05/04/2022 8:45,BUY,1.0969,1.0959,1.0998,-1,EURUSD,
24/03/2022 13:45,24/03/2022 13:30,BUY,1.0982,1.0971,1.1015,-1,EURUSD,
21/03/2022 17:15,21/03/2022 14:00,BUY,1.1046,1.1026,1.1104,-1,EURUSD,
14/03/2022 16:30,14/03/2022 13:45,BUY,1.0947,1.0932,1.0992,3,EURUSD,
11/03/2022 11:15,11/03/2022 9:30,BUY,1.0977,1.0957000000000001,1.1037,3,EURUSD,
01/03/2022 10:00,28/02/2022 13:15,BUY,1.1199,1.1176,1.1268,-1,EURUSD,
25/02/2022 10:30,25/02/2022 9:30,BUY,1.1178,1.1167,1.1211,-1,EURUSD,
23/02/2022 15:15,23/02/2022 13:45,SELL,1.1347,1.1355,1.1323,3,EURUSD,
23/02/2022 9:45,23/02/2022 9:00,SELL,1.1345,1.1352,1.1324,-1,EURUSD,
18/02/2022 11:15,18/02/2022 8:30,SELL,1.137,1.1377,1.135,3,EURUSD,
11/02/2022 12:00,11/02/2022 8:45,SELL,1.1386,1.1401,1.1341,-1,EURUSD,
11/02/2022 8:45,11/02/2022 8:15,SELL,1.1387,1.1397,1.1357,-1,EURUSD,
10/02/2022 13:30,09/02/2022 13:45,SELL,1.1435,1.1449,1.1392,3,EURUSD,
09/02/2022 10:00,09/02/2022 9:45,SELL,1.1425,1.1431,1.1406,-1,EURUSD,
08/02/2022 10:15,08/02/2022 8:45,SELL,1.1402,1.1412,1.1371,-1,EURUSD,
26/01/2022 10:15,26/01/2022 9:30,BUY,1.1288,1.1280000000000001,1.1314,-1,EURUSD,
20/01/2022 11:00,20/01/2022 9:45,BUY,1.1349,1.1340000000000001,1.1377,-1,EURUSD,
17/01/2022 11:30,17/01/2022 9:45,BUY,1.1425,1.1414,1.1459,-1,EURUSD,
22/12/2021 14:15,21/12/2021 15:00,BUY,1.1273,1.1259000000000001,1.1316,3,EURUSD,
08/11/2021 12:30,08/11/2021 9:00,SELL,1.157,1.1579,1.1543,-1,EURUSD,
08/11/2021 12:30,08/11/2021 9:00,SELL,1.157,1.1579,1.1543,-1,EURUSD,
08/11/2021 15:00,08/11/2021 8:15,BUY,1.1556,1.1547,1.1583,3,EURUSD,
02/11/2021 14:00,02/11/2021 9:00,BUY,1.1595,1.1583,1.1632,-1,EURUSD,
28/10/2021 12:30,28/10/2021 9:30,BUY,1.159,1.1579,1.1623,3,EURUSD,
28/10/2021 13:00,28/10/2021 8:45,BUY,1.1594,1.1580000000000001,1.1637,3,EURUSD,
26/10/2021 14:45,26/10/2021 14:30,BUY,1.1604,1.1598,1.1624,-1,EURUSD,
13/10/2021 15:00,13/10/2021 14:30,SELL,1.1566,1.1576,1.1536,-1,EURUSD,
13/10/2021 10:00,13/10/2021 8:30,SELL,1.1555,1.1562999999999999,1.153,-1,EURUSD,
08/10/2021 12:30,08/10/2021 8:15,BUY,1.1549,1.1540000000000001,1.1576,3,EURUSD,
08/10/2021 5:45,07/10/2021 13:15,BUY,1.1556,1.1544,1.159,-1,EURUSD,
08/10/2021 12:30,06/10/2021 14:00,BUY,1.1542,1.1532,1.1574,3,EURUSD,
04/10/2021 0:00,01/10/2021 10:00,BUY,1.158,1.1569,1.1612,3,EURUSD,
03/09/2021 12:30,03/09/2021 8:30,SELL,1.1879,1.1885999999999999,1.1856,-1,EURUSD,
23/08/2021 13:00,23/08/2021 9:00,SELL,1.1727,1.1735,1.1704,-1,EURUSD,
23/08/2021 13:00,23/08/2021 8:30,SELL,1.1724,1.1735,1.1689,-1,EURUSD,
20/08/2021 11:45,20/08/2021 8:45,BUY,1.1676,1.1668,1.1699,-1,EURUSD,
19/08/2021 14:00,19/08/2021 13:15,BUY,1.17,1.1689,1.1733,-1,EURUSD,
17/08/2021 12:45,17/08/2021 8:15,SELL,1.1777,1.1788,1.1744,3,EURUSD,
03/08/2021 14:45,03/08/2021 14:30,BUY,1.1866,1.1858,1.1891,-1,EURUSD,
30/06/2021 14:00,30/06/2021 13:15,BUY,1.1873,1.1865,1.1898,-1,EURUSD,
22/06/2021 19:00,22/06/2021 14:45,BUY,1.1906,1.1893,1.1946,3,EURUSD,
22/06/2021 16:15,22/06/2021 9:45,BUY,1.1888,1.1878,1.1919,3,EURUSD,
08/06/2021 14:45,08/06/2021 14:00,SELL,1.218,1.2191,1.2147,-1,EURUSD,
17/05/2021 15:45,17/05/2021 14:15,SELL,1.2139,1.2156,1.2088,-1,EURUSD,
17/05/2021 9:45,17/05/2021 8:45,SELL,1.2143,1.2153,1.2112,-1,EURUSD,
04/05/2021 15:00,04/05/2021 14:30,BUY,1.2025,1.2014,1.2058,-1,EURUSD,
12/04/2021 10:30,12/04/2021 9:30,SELL,1.1902,1.1912,1.1871,-1,EURUSD,
10/03/2021 13:30,10/03/2021 10:00,SELL,1.1898,1.1907999999999999,1.1868,-1,EURUSD,
09/03/2021 11:15,09/03/2021 10:00,SELL,1.1904,1.1913,1.1876,-1,EURUSD,
01/03/2021 15:00,01/03/2021 13:15,BUY,1.2053,1.2037,1.2099,-1,EURUSD,
01/02/2021 8:45,29/01/2021 14:00,SELL,1.2146,1.2159,1.2108,3,EURUSD,
18/12/2020 12:30,18/12/2020 8:30,SELL,1.2254,1.2266,1.2217,-1,EURUSD,
13/11/2020 9:45,13/11/2020 8:30,SELL,1.1812,1.1825999999999999,1.1769,-1,EURUSD,
30/10/2020 15:45,30/10/2020 8:45,BUY,1.1673,1.1657,1.1723,-1,EURUSD,
27/10/2020 8:15,26/10/2020 10:00,BUY,1.181,1.18,1.1842,-1,EURUSD,
13/10/2020 13:15,12/10/2020 14:00,SELL,1.1809,1.182,1.1776,3,EURUSD,
30/09/2020 14:45,30/09/2020 14:30,SELL,1.1721,1.1735,1.168,-1,EURUSD,